stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,operator,beginDate,endDate,associatedHucs
2227:MO:SCAN,2227,MO,SCAN,Shaw Nature Reserve,GC,Franklin,071401020902,580.0,38.47902,-90.80641,-6.0,,SNRM7,NRCS,2018-05-16 00:00,2100-01-01 00:00,"['071401020901', '071401020903', '071401030405', '103002000602', '103002000603']"
2088:VA:SCAN,2088,VA,SCAN,Shenandoah,GC,Augusta,020802020402,1760.0,37.93299,-79.21513,-5.0,,SHDV2,NRCS,2004-04-06 00:00,2100-01-01 00:00,"['020700050701', '020802020205', '020802020401']"
2120:MT:SCAN,2120,MT,SCAN,Sidney,GC,Richland,101000042503,2270.0,47.77102,-104.247,-7.0,34002,SISM8,NRCS,2006-10-24 00:00,2100-01-01 00:00,"['101000042209', '101000042302', '101000042303', '101000042502', '101000042704']"
2086:MS:SCAN,2086,MS,SCAN,Silver City,GC,Humphreys,080302071705,110.0,33.0875,-90.51151,-6.0,31331,SILM6,NRCS,2004-02-10 00:00,2100-01-01 00:00,"['080302060307', '080302060407', '080302060901', '080302060903', '080302071603', '080302071608', '080302071701']"
2101:HI:SCAN,2101,HI,SCAN,Silver Sword,GC,Hawaii,200100000401,9320.0,19.76505,-155.42348,-10.0,32498,SLVH1,NRCS,2005-02-19 00:00,2100-01-01 00:00,"['200100000402', '200100000403', '200100001303']"
2231:MO:SCAN,2231,MO,SCAN,Sinkin Forest,GC,Dent,110100080301,1330.0,37.50147,-91.25926,-6.0,,,NRCS,2021-07-06 00:00,2100-01-01 00:00,"['071401020201', '110100070101', '110100070103']"
2047:MO:SCAN,2047,MO,SCAN,Spickard,GC,Audrain,102801021004,880.0,40.2473,-93.71605,-6.0,28816,SPCM7,NRCS,2001-09-19 00:00,2100-01-01 00:00,"['102801020902', '102801020904', '102801021003', '102801021008']"
2154:UT:SCAN,2154,UT,SCAN,Split Mountain,GC,Uintah,140600101102,4850.0,40.39136,-109.35326,-7.0,43991,SPMU1,NRCS,2010-01-19 00:00,2100-01-01 00:00,"['140600100403', '140600100506', '140600100606', '140600100904', '140600101101', '140600101104']"
2158:UT:SCAN,2158,UT,SCAN,Spooky,GC,Kane,140700050701,5340.0,37.51468,-111.26189,-7.0,,SPYU1,NRCS,2010-04-14 00:00,2100-01-01 00:00,"['140700050504', '140700050505', '140700050702']"
2056:AL:SCAN,2056,AL,SCAN,Stanley Farm,GC,Morgan,060300020605,570.0,34.43935,-86.68734,-6.0,27794,STAA1,NRCS,2002-02-23 00:00,2100-01-01 00:00,"['060300020601', '060300020602', '060300020603', '060300020604', '060300020606']"
2064:MS:SCAN,2064,MS,SCAN,Starkville,GC,Oktibbeha,031601040604,270.0,33.47094,-88.78051,-6.0,27795,STKM6,NRCS,1999-09-17 00:00,2100-01-01 00:00,"['031601040403', '031601040601', '031601040603', '031601040605', '031601080206']"
2203:TX:SCAN,2203,TX,SCAN,Stephenville,GC,Erath,120602040103,1310.0,32.24535,-98.19563,-6.0,,SPVT2,NRCS,2013-09-14 00:00,2100-01-01 00:00,"['120602020103', '120602020106', '120602040101', '120602040102']"
2219:CA:SCAN,2219,CA,SCAN,Stubblefield,GC,San Luis Obispo,180600030101,3020.0,34.97018,-119.47831,-8.0,,DLFC1,NRCS,2014-10-31 00:00,2100-01-01 00:00,"['180300031403', '180300031404', '180600070204']"
2179:AL:SCAN,2179,AL,SCAN,Sudduth Farms,GC,Winston,031601100303,790.0,34.17973,-87.45618,-6.0,70257,SUDA1,NRCS,2010-04-14 00:00,2100-01-01 00:00,"['031601100103', '031601100104', '031601100301', '031601100302', '031601100304']"
2073:OH:SCAN,2073,OH,SCAN,Sunleaf Nursery,GC,Lake,041100030203,670.0,41.79618,-81.07653,-5.0,30329,SLFO1,NRCS,2003-11-20 00:00,2023-04-03 00:00,"['041100030204', '041100040603', '041100040605', '042600000102', '042600000200']"
808:MT:SCAN,808,MT,SCAN,Table Mountain,GC,Gallatin,100200071505,4470.0,45.80272,-111.58655,-7.0,34591,TABM8,NRCS,1986-09-30 00:00,2100-01-01 00:00,"['100200050705', '100200050805', '100200071504']"
2233:NM:SCAN,2233,NM,SCAN,Thoreau,GC,McKinley,130202070101,7070.0,35.40455,-108.1783,-7.0,,,NRCS,2022-06-01 00:00,2100-01-01 00:00,"['130202070103', '130202070105', '130202070107']"
2008:NC:SCAN,2008,NC,SCAN,Tidewater #1,GC,Washington,030102050103,10.0,35.86667,-76.65,-5.0,18823,TIDN7,NRCS,1993-10-01 00:00,2100-01-01 00:00,"['030101070902', '030102050104']"
2040:VA:SCAN,2040,VA,SCAN,Tidewater Arec,GC,Suffolk,030102030101,80.0,36.68333,-76.76667,-5.0,,TDWV2,NRCS,2000-06-07 00:00,2019-06-20 11:00,"['020802080102', '030102020501', '030102020504', '030102030102']"
2082:MS:SCAN,2082,MS,SCAN,Tnc Fort Bayou,GC,Jackson,031700090604,40.0,30.47073,-88.74182,-6.0,30981,TFBM6,NRCS,2003-11-04 00:00,2100-01-01 00:00,"['031700060204', '031700090606']"
2018:WY:SCAN,2018,WY,SCAN,Torrington #1,GC,Goshen,101800090503,4180.0,42.07053,-104.14084,-7.0,19540,TRGW4,NRCS,1993-10-21 00:00,2100-01-01 00:00,"['101800090409', '101800090501', '101800090504', '101800090607']"
2142:NV:SCAN,2142,NV,SCAN,Trough Springs,GC,Clark,160600150101,7860.0,36.37355,-115.78127,-8.0,31755,TRUN2,NRCS,2007-10-28 00:00,2100-01-01 00:00,['160600141902']
2163:UT:SCAN,2163,UT,SCAN,Tule Valley,GC,Millard,160203030103,4600.0,39.23724,-113.45866,-7.0,43927,TULU1,NRCS,2010-03-08 00:00,2100-01-01 00:00,"['160203030101', '160203030102', '160203030104', '160203030105', '160203030404']"
2034:MS:SCAN,2034,MS,SCAN,Tunica,GC,Tunica,080201000101,190.0,34.6764,-90.41142,-6.0,24682,TNAM6,NRCS,1999-09-17 00:00,2100-01-01 00:00,"['080201000102', '080302040801', '080302040901']"
2115:AL:SCAN,2115,AL,SCAN,Tuskegee,GC,Macon,031501100503,410.0,32.43455,-85.74802,-6.0,33155,TKSA1,NRCS,2006-05-18 00:00,2100-01-01 00:00,"['031501100302', '031501100304', '031501100504']"
2226:MO:SCAN,2226,MO,SCAN,Twin Pines Conservation Area,GC,Shannon,110100080401,960.0,36.99024,-91.30943,-6.0,2018MO,TPCM7,NRCS,2018-05-22 00:00,2100-01-01 00:00,"['110100080403', '110100110207', '110100110208']"
2083:AR:SCAN,2083,AR,SCAN,Uapb Campus-PB,GC,Jefferson,111102070605,230.0,34.25188,-92.02632,-6.0,31334,UAPA4,NRCS,2004-02-05 00:00,2100-01-01 00:00,"['080402050101', '080402050103', '080402050201', '111102070505', '111102070604', '111102070606']"
2091:AR:SCAN,2091,AR,SCAN,Uapb Dewitt,GC,Arkansas,080203030104,190.0,34.27788,-91.35017,-6.0,32242,DWTA4,NRCS,2004-05-06 00:00,2100-01-01 00:00,"['080203030103', '080203030207', '080203030301', '080204020405']"
2090:AR:SCAN,2090,AR,SCAN,Uapb Point Remove,GC,Pope,111102030304,310.0,35.20842,-92.92462,-6.0,32243,POIA4,NRCS,2004-05-04 00:00,2100-01-01 00:00,"['111102030106', '111102030206', '111102030303', '111102040507']"
2085:AR:SCAN,2085,AR,SCAN,Uapb-Earle,GC,Crittenden,080202031212,210.0,35.27732,-90.45031,-6.0,,UAEA4,NRCS,2004-02-07 00:00,2100-01-01 00:00,"['080202031211', '080202031303', '080202031501']"
2030:AR:SCAN,2030,AR,SCAN,Uapb-Lonoke Farm,GC,Lonoke,080203010401,250.0,34.85,-91.88333,-6.0,24684,LNKA4,NRCS,1999-09-16 00:00,2100-01-01 00:00,"['080203010105', '080203010402', '080204020203', '080204020204']"
2084:AR:SCAN,2084,AR,SCAN,Uapb-Marianna,GC,Lee,080203040301,220.0,34.7849,-90.81769,-6.0,31335,UAMA4,NRCS,2004-02-06 00:00,2100-01-01 00:00,"['080202050505', '080202050506', '080202050508', '080203040201']"
2221:AK:SCAN,2221,AK,SCAN,Unalakleet,AK,Nome,190501021408,290.0,63.91333,-160.74973,-9.0,,UKKA2,NRCS,2015-08-21 00:00,2017-04-04 05:00,"['190501020604', '190501020605', '190501021206', '190501021303', '190501022007']"
2123:VI:SCAN,2123,VI,SCAN,Upper Bethlehem,GC,St. Croix,210200020203,120.0,17.71833,-64.79518,-4.0,34003,UBEV3,NRCS,2006-11-14 00:00,2100-01-01 00:00,"['210200020102', '210200020202', '210200020204', '210200020300']"
2204:TX:SCAN,2204,TX,SCAN,Uvalde,GC,Uvalde,121101060903,930.0,29.21578,-99.75517,-6.0,,VLDT2,NRCS,2013-09-17 00:00,2100-01-01 00:00,"['121101060401', '121101060402', '121101060901', '121101060902', '121101060904']"
2196:WI:SCAN,2196,WI,SCAN,UW Platteville,GC,Lafayette,070600050302,1090.0,42.70785,-90.3899,-6.0,,UWPW3,NRCS,2013-09-04 17:00,2100-01-01 00:00,"['070600030401', '070600030403', '070600030404', '070600030405', '070600050301', '070900030301']"
2234:CA:SCAN,2234,CA,SCAN,Vallecitos,GC,San Benito,180400140302,1620.0,36.45976,-120.70601,-8.0,,,NRCS,2022-10-26 00:00,2100-01-01 00:00,"['180300090901', '180400140301', '180400140303', '180400140304', '180400140401']"
2035:MS:SCAN,2035,MS,SCAN,Vance,GC,Tallahatchie,080302020504,150.0,34.06301,-90.35843,-6.0,24683,VNCM6,NRCS,1999-09-17 00:00,2100-01-01 00:00,"['080302020404', '080302020505', '080302070601', '080302070602']"
2162:UT:SCAN,2162,UT,SCAN,Vermillion,GC,Kane,140700070405,6400.0,37.19061,-112.19252,-7.0,40638,VMLU1,NRCS,2010-04-13 00:00,2100-01-01 00:00,"['140700070407', '140700070408', '150100030304', '150100030307']"
2202:TX:SCAN,2202,TX,SCAN,Vernon,GC,Wilbarger,111302070302,1180.0,34.01635,-99.2464,-6.0,,VNOT2,NRCS,2013-09-13 00:00,2100-01-01 00:00,"['111301050204', '111302070301', '111302070303', '111302070305']"
